id,brand_name,product_link,product_name,product_category,product_type,product_price,discounted_price,price_unit,price_usd,product_description,fabric_composition,product_image,product_image_aws,country,created_at,updated_at,created_year
426964,LEVI STRAUSS AND CO.,https://www.levi.com/DK/en/clothing/women/725-high-rise-bootcut-jeans/p/187590122,725™ HIGH RISE BOOTCUT JEANS,Women,Jeans,628,,DKK,92,"an ultra-high rise meets a modern bootcut leg.we designed these easy-to-wear 725 high rise bootcut jeans with a fashion-forward rise , slim leg and subtle bootcut at the hem for a flattering silhouette.oh , and the best part ? these jeans were crafted with levi's® stellar stretch : thanks to excellent built-in recovery , they champion your curves and move with you—without sagging or bagging—everywhere and every wear.
a classic leg-lengthening bootcut silhouette
designed to give you legs for days
see more
style # 187590122
colour : dark indigo rinse-blue
how it fits
slim through the hip and thigh
high rise
knee : 14"", leg opening : 17 3/4"", measurements based on size 27. x 32
model is 180 cm /5'11"" tall and wears a size 27 x 32
composition & care
85% cotton , 7% lyocell ( tencel®), 6% elastomultiester , 2% elastane ( lycra®)
stellar stretch
stretch
zip fly
5- pocket styling
tencel™ is a trademark of lenzing ag
made in turkey
with like colors , machine wash cold , , ,.


",85.0% cotton 7.0% tencel 6.0% elastomultiester 2.0% lycra,"https://lsco.scene7.com/is/image/lsco/187590122-dynamic1-pdp-lse?fmt=webp&resMode=bisharp&fit=crop,0&qlt=70&op_usm=0.6,0.6,8&wid=750&hei=819",https://brandsdata.s3.us-east-2.amazonaws.com/426964.jpg,DENMARK,15-05-2023 10:03,03-01-2024 10:42,2023
269100,H&M,https://www2.hm.com/nl_nl/productpage.0875105024.html,RELAXED JEANS,Men,Jeans,29.99,,EURO,32,"mate
waist : circumference : 90.5 cm ( size 33)
inside leg : length : 89.5 cm ( size 33)
length
long
waist size
normal waist
fit
relaxed fit
compound
pocket lining : polyester 65%, cotton 35%
outer layer : cotton 100%
maintenance instructions
machine wash 40°

drying medium temperature
the color of this denim may transfer to other light-colored materials.
iron high temperature
suitable for chemical cleaning
material
cotton
denim
description
light denim blue
plain
concept
art.no.
0875105024

",100.0% cotton,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F69%2F34%2F69349506e84007d3a5dcf571bc103d8ed3de0fb6.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],https://brandsdata.s3.us-east-2.amazonaws.com/269100.jpg,NETHERLANDS,14-02-2023 08:07,03-09-2024 07:23,2023
957614,ROADSTER BRAND JEANS,https://www.myntra.com/jeans/roadster/roadster-men-blue-carrot-fit-light-fade-stretchable-jeans/14637672/buy,MEN BLUE CARROT FIT LIGHT FADE STRETCHABLE JEANS,Men,Jeans,1899,949,INR,23,"PRODUCT DETAILS Medium shade , light fade blue jeans Regular fit , mid-rise Brand Fit : carrot Clean look Stretchable 5 pocket Length : regular Size & Fit Brand Fit : Carrot Fit Fit : Regular Fit Stretchable The model ( height 6') is wearing a size 32 Material & Care 99% Cotton , 1% Elastane Machine wash Specifications Distress Clean Look Waist Rise Mid-Rise Fade Light Fade Shade Medium Brand Fit Name Carrot Fit Regular Fit Length Regular Waistband With belt loops Stretch Stretchable Closure Button and Zip Reversible No Effects Whiskers and Chevrons Number of Pockets 5 Occasion Casual


",99.0% cotton 1.0% elastane,"https://assets.myntassets.com/h_1440,q_90,w_1080/v1/assets/images/14637672/2021/10/5/f7ab7158-28ee-4d9f-acf0-a434938b26e31633434754592-Roadster-Men-Jeans-3051633434754133-1.jpg",https://brandsdata.s3.us-east-2.amazonaws.com/957614.jpg,INDIA,15-01-2024 21:31,15-03-2024 06:53,2024
1291104,LC WAIKIKI,https://www.lcwaikiki.com/tr-TR/TR/urun/LC-WAIKIKI/erkek/Jean/6676854/3066891,BLACK 750 SLIM FIT THIN MEN'S JEAN TROUSERS-S 3 JH 13 Z 8-326-LC WAIKIKI,Men,Jeans,549.99,,TRY,17,"Product Description To extend the life of your denim clothes , always wash them at low temperatures and inside out ; In this way , we help preserve the color and structure of the fabric and also reduce energy consumption. While slim fit jeans gently hug the body with their flexible fabric structure , their design that tapers towards the leg provides you with a modern look as well as comfort and convenience all day long. Model Information Chest : 97 cm Waist : 78 cm Hips : 94 cm Height : 188 cm The model wears size 30. Product Content and Features Product Content : Main Fabric : 98% Cotton 2% Elastane Product Features : Leg Fit : Narrow Leg Waist Fit : Normal Waist Fit : Slim Seller : LC Waikiki Material : High Cotton Contains Fabric : Denim Pattern : Plain Gender : Male Brand : LCW Jeans Thickness : Thin Product Type : Jean


",98.0% cotton 2.0% elastane,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20231/6676854/v1/l_20231-s3jh13z8-326-97-78-94-188_a.jpg,https://brandsdata.s3.us-east-2.amazonaws.com/1291104.jpg,TURKEY,16-04-2024 12:27,23-04-2024 03:43,2024
662988,LEVI STRAUSS AND CO.,https://www.levi.com.hk/product/514-straight-ama-premium-indigo/005147/p/18915071,BUY 514™ STRAIGHT AMA PREMIUM INDIGO,Men,Jeans,899,,HKD,115,"Classic straight-fit jeans. The right amount of stretch for all-day comfort.
Measurements : Size 28 Inseam 32
Size 29 Inseam 32
Size 30 Inseam 32
Size 31 Inseam 32
Size 32 Inseam 32
Size 34 Inseam 32
Size 36 Inseam 32
Size 38 Inseam 32
Style #005147
PC 9 #
005140932
Color : Ama Premium Indigo
How it Fits
Regular through seat and thigh
Straight leg opening
Sits below waist
Zip Fly
Composition & Care
99% Cotton , 1% Elastane


",99.0% cotton 1.0% elastane,"https://storage.sg.content-cdn.io/cdn-cgi/image/width=1034,height=1376,quality=75,format=auto,fit=cover,g=top/in-resources/8d757d40-6065-42bb-9044-c8a5073cfb70/Images/ProductImages/Source/levis-514-straight-ama-premium-indigo-005140932_01_Front.jpg",https://brandsdata.s3.us-east-2.amazonaws.com/662988.jpg,HONG KONG,14-09-2023 09:44,15-03-2024 06:53,2023
1014344,H&M,https://www2.hm.com/en_hk/productpage.1130141001.html,RELAXED FIT DENIM JACKET,Men,Jacket,399,,HKD,51,"Description & fit
Relaxed-fit jacket in rigid denim with a collar , metal buttons down the front , flap chest pockets with a button and welt side pockets. Long sleeves , buttoned cuffs and an adjustable tab and buttons at the sides.
Article number : 1130141001
Size : Back : Length : 67.75 cm ( Size L / L ), Shoulder : Width : 55.5 cm ( Size L / L ), Sleeve : Length : 64.75 cm ( Size L / L )
Length : Regular length
Sleeve Length : Long sleeve
Fit : Relaxed fit
Style : Trucker jacket
Description : Light denim blue , Solid colour
Materials
Composition
Shell : Cotton 100%
Pocket lining : Cotton 100%
Additional material information
The total weight of this product contains : 19% Recycled cotton
1% Recycled polyester
We exclude the weight of minor components such as , but not exclusively : threads , buttons , zippers , embellishments and prints.
The total weight of the product is calculated by adding the weight of all layers and main components together. Based on that , we calculate how much of that weight is made out by each material. For sets & multipacks all pieces are counted together as one product in calculations.
Material : Cotton , Denim
Materials in this product explained
Cotton
Cotton is a soft and versatile natural fibre harvested from the cotton plant.
Recycled cotton
Recycled cotton is cotton made from textile waste in production or from end-of-life textile waste. The waste is mechanically recycled and spun into new yarn.
Recycled polyester
Recycled polyester is polyester made from PET bottles or end-of-life textile waste. The PET bottles or textile waste is mechanically recycled and processed into new yarn.
Care guide
You too can help the environment and make fashion more sustainable. Bring unwanted clothes or home textiles to any H & M store and they will be reworn , reused or recycled.
Read about how you can make your clothes last longer
Care instructions
Machine wash at 40°
Wash with similar colours
Tumble dry medium
High iron
Can be dry cleaned
Only non-chlorine bleach when needed


",80.0% cotton 19.0% piw 1.0% recycled_polyester,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F9d%2F64%2F9d6400f418991966d178fa5b54570862740e9390.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],https://brandsdata.s3.us-east-2.amazonaws.com/1014344.jpg,HONG KONG,14-02-2024 09:52,03-09-2024 08:21,2024
1036880,LEVI STRAUSS AND CO.,https://www.levi.com/NL/en/clothing/men/512-slim-tapered-jeans/p/288330013,512 SLIM TAPERED JEANS,Men,Jeans,109.95,,EURO,119,"Slimmer leg than Levi's ® 511™ Tailor-inspired cut Right amount of stretch for all-day comfort
Made with Water < Less ™ technology-Uses 96% less water than standard finishing techniques
We partner with the Better Cotton Initiative to improve cotton farming globally
Style # 288330013 Colour : Nightshine-Black
How it Fits
Sits below waist
Regular fit
Model is 188 cm /6'2"" tall and wears a size 32 x 31 Composition & Care 98% cotton ,2% elastane ( LYCRA ®) Comfort Stretch denim
Zip fly 5- pocket styling Materials
Countries of origin Pakistan , Poland , Turkey


",98.0% cotton 2.0% lycra,"https://lsco.scene7.com/is/image/lsco/288330013-front-pdp?fmt=jpeg&qlt=70&resMode=bisharp&fit=crop,1&op_usm=0.6,0.6,8&wid=880&hei=968",https://brandsdata.s3.us-east-2.amazonaws.com/1036880.jpg,NETHERLANDS,21-02-2024 14:17,15-03-2024 06:53,2024
1162747,TOMMY HILFIGER,https://uk.tommy.com/sylvia-high-rise-skinny-flared-leg-jeans-dw0dw176311a5,SYLVIA HIGH RISE SKINNY FLARED LEG JEANS,Women,Jeans,90,,GBP,115,"Details
Embrace a retro silhouette in these skinny-fitting jeans , which flare out below the knee and rock a flattering high-rise waist.
Highlights
• Stretch cotton denim
• Fading on seams
• Zip with button closure
• Five-pocket styling
• Tommy Jeans branding
• Tommy Jeans flag patch on back and coin pocket
Shape & fit
• Skinny fit
• Flared leg
• High rise waist
• Our model is 1.76 m and wears size 28/32
Composition & care
• 78% cotton , 20% recycled cotton , 2% elastane
DW 0 DW 176311 A 5
Sustainable Style
Recycled Cotton
This product contains independently certified recycled cotton from used textiles and manufacturing waste , reducing its environmental impact.
Shipping & Returns
Standard delivery is usually within 4-5 working days
Returns are always free
What is the return policy / How can I return an item ?
Perfumes can only be shipped with standard delivery
Visit our
customer services section
for more information regarding payment methods or contact our customer service team for further questions.
Please be reminded of the existence of a legal guarantee of conformity for products under applicable law.


",78.0% cotton 20.0% piw 2.0% elastane,https://tommy-europe.scene7.com/is/image/TommyEurope/DW0DW17631_1A5_main?$b2c_updp_m_mainImage_1920$,https://brandsdata.s3.us-east-2.amazonaws.com/1162747.jpg,UK,16-03-2024 06:16,23-03-2024 00:32,2024
2177479,H&M,https://www2.hm.com/tr_tr/productpage.1213942004.html,CURVY FIT WIDE HIGH CROPPED JEANS,Women,Jeans,1129,,TRY,33,"Explanation
5- pocket trousers made of slightly stretchy cotton denim for comfort. It is designed so that there is not much space in the waist and there is more room in the hips and upper legs , with a cut that emphasizes the curves. Wide legs , regular cut from waist to hips , wide cut from upper legs to hems. High waist with zip fly and buttons. It is designed in a short length to end above the anklebone and show off the wrist. It's a roomy silhouette that always looks nice.
Item No.:: 1213942004
Model size : Model height : 175 cm /5'9"" Size : 42
Length : ankle length
Waist Height : high waisted
Cut : regular cut
Style : Wide
Explanation : Black , Solid color
Concept : DENIM

materials
PRODUCT CONTENT
Outer layer : Cotton 99%, Elastane 1%
Pocket lining : Polyester 65%, Cotton 35%
Additional material information
The total weight of this product includes : 19% recycled cotton
These weights do not include small components such as thread , buttons , zippers , decorations and printing.
The total weight of the product is calculated by adding up the weight of all layers and main components. Based on this , we calculate how much of this weight each ingredient makes up. For calculations for sets and multipacks , all items are counted together as a single item.
Material : Pamuk , Kot
The ingredients in this product are described
Elastane
Elastane is an elastic synthetic fiber made from petroleum ( a fossil source ).
recycled cotton
Recycled cotton is cotton obtained from textile waste in production or textile waste that has reached the end of its useful life. The waste is mechanically recycled and turned into new yarn.
Cotton
Cotton is a soft and versatile natural fiber harvested from the cotton plant.
Polyester
Polyester is a synthetic fiber made from crude oil ( a fossil source ).

",80.0% cotton 19.0% piw 1.0% elastane,https://image.hm.com/assets/hm/80/ab/80ab79499a8afcc6dde4613e93aba0b928a8b71e.jpg?imwidth=2160,https://brandsdata.s3.us-east-2.amazonaws.com/2177479.jpg,TURKEY,11-11-2024 05:57,05-12-2024 15:19,2024
2195289,WRANGLER,https://www.wrangler.in/products/8905409641668,MEN BROWN SKANDERS SLIM FIT LOW RISE JEANS,Men,Jeans,3999,1999,INR,47,"These Unique Rust Colored Skanders Jeans From Wrangler Are A Must-Have For Any Man Who Wants To Look Stylish And On-Trend. Made From A 98 Cotton And 2 Elastane Blend , They Are Comfortable And Durable. The Slim Fit And Low Waist Make Them Perfect For A Casual Day Out. Team Them With A Polo T-Shirt And Sneakers For A Trendy Outfit.
Brand Wrangler
Gender Men
Pattern Solid
Parent Color Brown
Fit Slim Tapered
Material 98 Cotton , 2 Elastane
Product Type Jeans
Closure Type Button And Zip
Fit Name Skanders
Waist Rise Low Rise
Distress Clean Look
Fade No Fade
Shade Coloured
Stretch Stretchable


",98.0% cotton 2.0% elastane,https://static.aceomni.cmsaceturtle.com/prod/product-image/aceomni/Wrangler/Monobrand/WMJN006686/WMJN006686_1.jpg,https://brandsdata.s3.us-east-2.amazonaws.com/2195289.jpg,INDIA,10-12-2024 07:16,24-12-2024 12:00,2024
2166016,ASOS,https://www.asos.com/hollister/hollister-low-rise-relaxed-straight-fit-jeans-with-knee-rips-in-mid-blue/prd/206971998,HOLLISTER LOW RISE RELAXED STRAIGHT FIT JEANS WITH KNEE RIPS IN MID BLUE,Women,Jeans,45.95,34.5,GBP,59,"product
Description : Jeans by Hollister ,, Denim days on repeat ,, Relaxed fit ,, Straight leg ,, Low rise ,, Belt loops ,, Five pockets ,, Ripped knees ,
brand
Description : Inspired by beaches , blue skies and sunshine , Southern California label Hollister champions an endless summer. Never taking itself too seriously , its laid-back style is infused with surf and skate culture , making every T-shirt , maxi dress and skater skirt effortlessly cool.
badges : size
And
Fit : Model's height : 169 cm /5'5.5"", Model is wearing : 3 R-W 26 Regular
about
Me : Non-stretch denim : mid-blue wash ,, Main : 98% Cotton , 2% Elastane.
Product Code : 136983701


",98.0% cotton 2.0% elastane,https://images.asos-media.com/products/hollister-low-rise-relaxed-straight-fit-jeans-with-knee-rips-in-mid-blue/206971998-1-midwash?$n_1920w$&wid=1926&fit=constrain,https://brandsdata.s3.us-east-2.amazonaws.com/2166016.jpg,UK,11-11-2024 05:57,05-12-2024 15:12,2024
2214053,LEVI STRAUSS AND CO.,https://www.levi.com.cn/product/A9188-0000.html,LEVI'S WOMEN'S STRAIGHT-LEG WIDE-LEG JEANS,Women,Jeans,1299,1104,CNY,179,"The jeans use Opti metal zipper fly , reinforced seams at the trouser legs , double horse branding on the back waist , loose fit , simple and elegant , comfortable and comfortable
Composition ::>>100% cotton


",100.0% cotton,https://img.ibaiqiu.com/applet-upload/1726736804-215-A9188-0000-000-726TH.jpg,https://brandsdata.s3.us-east-2.amazonaws.com/2214053.jpg,CHINA,10-12-2024 15:12,24-12-2024 12:18,2024
793117,LEVI STRAUSS AND CO.,https://www.levi.com.cn/product/67505-0130.html?colorCode=%E6%B7%B1%E8%93%9D%E8%89%B2,LEVI'S® LVC SERIES 1967 505™ LOW-RISE SLIM STRAIGHT JEANS,Men,Jeans,2199,,CNY,303,"Series : LEVI'S® VINTAGE CLOTHING ( LVC ) reproduces the tailoring , fabrics and details of the past , faithfully telling the spirit of American culture. Over the past 150 years , the United States has embraced the collision and changes of various cultures , and Levi's® has always stood at the center of it all. Today , LEVI'S® LVC is inspired by the historical events and culture of a specific period to create products for each season , taking you to relive these precious years : surfing on the California beaches in the 1940 s , participating in the space race in the 1950 s , or participating in the space race in the 1950 s. It is to watch a movie "" ROCKERS "" from the 1970 s... It is so lifelike that it reminds people where they come from and where they are going. What a great thing , a great 150 th anniversary. In the spring and summer of 2023, the LEVI'S® LVC series is inspired by Levi's® and Jacob Davis's stud reinforcement patent to restore the legendary beginning of denim.

Description : • 14 oz jean denim • Hidden stud design • Double playing cards • Double-sided large “E” red flag • Double-needle double-arc pocket flower design • Made in Japan
In different sales channels or platforms , due to different promotions , the final selling price may be different. Please refer to the channel where you purchased for the specific price. The underlined price is the product tag price.

",error: no composition,https://img.ibaiqiu.com/applet-upload/desc_1680511083526621.jpg,https://brandsdata.s3.us-east-2.amazonaws.com/793117.jpg,CHINA,14-11-2023 12:02,15-03-2024 06:53,2023
